127.0.0.1 - - [15/Jun/2024:14:27:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:25 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6302
